,MOTA,MOTP,Frames,GT,IDF1,IDP,IDR,Rcll,Prcn,MT,PT,ML,FP,FN,IDsw,FM
GOT-10k_Val_000045,1.0,0.1440614570329838,100,100,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000046,-0.7,0.21861028398422575,100,100,0.15,0.15,0.15,0.15,0.15,0,0,1,85,85,0,0
GOT-10k_Val_000047,1.0,0.09714158660553916,70,70,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000048,1.0,0.17244227548053737,80,80,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000049,1.0,0.18634345543468198,80,80,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000050,0.8765432098765432,0.3476930364747808,81,81,0.9382716049382716,0.9382716049382716,0.9382716049382716,0.9382716049382716,0.9382716049382716,1,0,0,5,5,0,2
GOT-10k_Val_000051,1.0,0.0971826838974578,91,91,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000052,0.5247524752475248,0.11206415738037559,101,101,0.7623762376237624,0.7623762376237624,0.7623762376237624,0.7623762376237624,0.7623762376237624,0,1,0,24,24,0,0
GOT-10k_Val_000053,0.6633663366336633,0.1882563216646004,101,101,0.8316831683168316,0.8316831683168316,0.8316831683168316,0.8316831683168316,0.8316831683168316,1,0,0,17,17,0,3
GOT-10k_Val_000054,0.7833333333333333,0.1992640381563063,120,120,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.8916666666666667,1,0,0,13,13,0,2
GOT-10k_Val_000055,-0.295774647887324,0.40649687613940455,71,71,0.352112676056338,0.352112676056338,0.352112676056338,0.352112676056338,0.352112676056338,0,1,0,46,46,0,8
GOT-10k_Val_000056,-0.9682539682539681,0.0,63,63,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0,0,1,62,62,0,0
GOT-10k_Val_000057,-0.5,0.30948947963789303,64,64,0.25,0.25,0.25,0.25,0.25,0,1,0,48,48,0,5
GOT-10k_Val_000058,1.0,0.26121755791297396,70,70,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000059,-0.5833333333333333,0.2552848178957699,96,96,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0,1,0,76,76,0,1
GOT-10k_Val_000060,0.9272727272727272,0.34489044269122193,110,110,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,1,0,0,4,4,0,4
GOT-10k_Val_000061,1.0,0.12391332783937223,101,101,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000062,-0.9009900990099009,0.16405159651750562,101,101,0.04950495049504951,0.04950495049504951,0.04950495049504951,0.04950495049504951,0.04950495049504951,0,0,1,96,96,0,0
GOT-10k_Val_000063,0.33333333333333337,0.31405933908258055,81,81,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,0,27,27,0,7
GOT-10k_Val_000064,0.9753086419753086,0.147863061760854,81,81,0.9876543209876543,0.9876543209876543,0.9876543209876543,0.9876543209876543,0.9876543209876543,1,0,0,1,1,0,0
GOT-10k_Val_000065,0.7821782178217822,0.2722035329700386,101,101,0.8910891089108911,0.8910891089108911,0.8910891089108911,0.8910891089108911,0.8910891089108911,1,0,0,11,11,0,4
GOT-10k_Val_000066,1.0,0.1324561666073209,101,101,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000067,0.9142857142857143,0.25225998455327514,70,70,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572,1,0,0,3,3,0,2
GOT-10k_Val_000068,1.0,0.12984693758389215,100,100,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000069,1.0,0.1223874308450514,101,101,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000070,0.24444444444444446,0.18000763881153503,90,90,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.6222222222222222,0,1,0,34,34,0,2
GOT-10k_Val_000071,0.8271604938271605,0.1841220868829181,81,81,0.9135802469135802,0.9135802469135802,0.9135802469135802,0.9135802469135802,0.9135802469135802,1,0,0,7,7,0,3
GOT-10k_Val_000072,-0.40740740740740744,0.17714453604773372,81,81,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963,0,1,0,57,57,0,0
GOT-10k_Val_000073,0.05494505494505497,0.26911660519542563,91,91,0.5274725274725275,0.5274725274725275,0.5274725274725275,0.5274725274725275,0.5274725274725275,0,1,0,43,43,0,5
GOT-10k_Val_000074,-0.7142857142857142,0.3720420120845803,91,91,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0,1,78,78,0,2
GOT-10k_Val_000075,0.6831683168316831,0.2634163089520102,101,101,0.8415841584158416,0.8415841584158416,0.8415841584158416,0.8415841584158416,0.8415841584158416,1,0,0,16,16,0,7
GOT-10k_Val_000076,0.2222222222222222,0.26924867230574057,90,90,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0,1,0,35,35,0,3
GOT-10k_Val_000077,-0.8799999999999999,0.24624603591957864,100,100,0.06,0.06,0.06,0.06,0.06,0,0,1,94,94,0,0
GOT-10k_Val_000078,-0.7818181818181817,0.2768306201740662,110,110,0.10909090909090909,0.10909090909090909,0.10909090909090909,0.10909090909090909,0.10909090909090909,0,0,1,98,98,0,2
GOT-10k_Val_000079,0.98,0.18686485308643755,100,100,0.99,0.99,0.99,0.99,0.99,1,0,0,1,1,0,1
GOT-10k_Val_000080,0.86,0.20237357864583913,100,100,0.93,0.93,0.93,0.93,0.93,1,0,0,7,7,0,2
GOT-10k_Val_000081,0.8818181818181818,0.2202940219689423,110,110,0.9406392694063926,0.944954128440367,0.9363636363636364,0.9363636363636364,0.944954128440367,1,0,0,6,7,0,4
GOT-10k_Val_000082,0.9555555555555556,0.2627185854778198,90,90,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,1,0,0,2,2,0,2
GOT-10k_Val_000083,0.94,0.1833879467961051,100,100,0.97,0.97,0.97,0.97,0.97,1,0,0,3,3,0,1
GOT-10k_Val_000084,1.0,0.10846128293310034,90,90,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000085,1.0,0.11777668191779252,100,100,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000086,1.0,0.11605621835335447,89,89,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000087,1.0,0.1187278859683622,100,100,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000088,1.0,0.22945472587084143,101,101,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000089,1.0,0.25111029897082954,111,111,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000090,1.0,0.09938487834346371,101,101,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000091,-0.06172839506172845,0.3265323592177034,81,81,0.4691358024691358,0.4691358024691358,0.4691358024691358,0.4691358024691358,0.4691358024691358,0,1,0,43,43,0,5
GOT-10k_Val_000092,0.28712871287128716,0.30312245116096176,101,101,0.6435643564356436,0.6435643564356436,0.6435643564356436,0.6435643564356436,0.6435643564356436,0,1,0,36,36,0,11
GOT-10k_Val_000093,1.0,0.1480224958366645,81,81,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000094,1.0,0.14613278332020338,91,91,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000095,1.0,0.0889120544662005,80,80,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000096,0.9436619718309859,0.32900727567484855,71,71,0.971830985915493,0.971830985915493,0.971830985915493,0.971830985915493,0.971830985915493,1,0,0,2,2,0,1
GOT-10k_Val_000097,1.0,0.09036158092845145,70,70,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000098,0.02970297029702973,0.27005465540737883,101,101,0.5148514851485149,0.5148514851485149,0.5148514851485149,0.5148514851485149,0.5148514851485149,0,1,0,49,49,0,2
GOT-10k_Val_000099,-0.54,0.2860599285577249,100,100,0.23,0.23,0.23,0.23,0.23,0,1,0,77,77,0,0
GOT-10k_Val_000100,0.02970297029702973,0.2206424058966253,101,101,0.5148514851485149,0.5148514851485149,0.5148514851485149,0.5148514851485149,0.5148514851485149,0,1,0,49,49,0,3
GOT-10k_Val_000101,1.0,0.11974651036748714,121,121,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000102,0.98,0.199033159778167,100,100,0.99,0.99,0.99,0.99,0.99,1,0,0,1,1,0,1
GOT-10k_Val_000103,0.9846153846153847,0.24860658920065484,390,390,0.9923076923076923,0.9923076923076923,0.9923076923076923,0.9923076923076923,0.9923076923076923,1,0,0,3,3,0,3
GOT-10k_Val_000104,1.0,0.1586928827065976,110,110,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000105,1.0,0.09769584264178781,80,80,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000106,1.0,0.13203702912134424,161,161,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000107,1.0,0.14135788476509653,91,91,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000108,1.0,0.18080555927312802,201,201,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000109,0.9259259259259259,0.1289839314069343,81,81,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,1,0,0,3,3,0,1
GOT-10k_Val_000110,0.08704883227176219,0.22068809898767688,471,471,0.5435244161358811,0.5435244161358811,0.5435244161358811,0.5435244161358811,0.5435244161358811,0,1,0,215,215,0,6
GOT-10k_Val_000111,0.4814814814814815,0.2474537075039897,81,81,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0,1,0,21,21,0,7
GOT-10k_Val_000112,1.0,0.11670451803125442,131,131,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000113,1.0,0.1382526041220262,131,131,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000114,1.0,0.12757122522609027,181,181,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000115,1.0,0.10673870472950704,81,81,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000116,0.9932659932659933,0.13981373913856696,297,297,0.9966329966329966,0.9966329966329966,0.9966329966329966,0.9966329966329966,0.9966329966329966,1,0,0,1,1,0,1
GOT-10k_Val_000117,1.0,0.11263955718328385,101,101,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000118,1.0,0.2776050316681225,201,201,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000119,1.0,0.27260116686631214,251,251,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000120,1.0,0.10179904723424402,70,70,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000121,1.0,0.1300707447209207,131,131,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000122,0.9856801909307876,0.18467774925289696,419,419,0.9928400954653938,0.9928400954653938,0.9928400954653938,0.9928400954653938,0.9928400954653938,1,0,0,3,3,0,1
GOT-10k_Val_000123,1.0,0.20166927280606448,140,140,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000124,1.0,0.11416311415440526,181,181,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000125,0.9976798143851509,0.1290495683113906,431,431,0.9988385598141696,1.0,0.9976798143851509,0.9976798143851509,1.0,1,0,0,0,1,0,1
GOT-10k_Val_000126,0.00990099009900991,0.3204585156084287,101,101,0.504950495049505,0.504950495049505,0.504950495049505,0.504950495049505,0.504950495049505,0,1,0,50,50,0,6
GOT-10k_Val_000127,1.0,0.27673960610284054,101,101,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000128,0.98,0.1769324938643706,100,100,0.99,0.99,0.99,0.99,0.99,1,0,0,1,1,0,1
GOT-10k_Val_000129,-0.7227722772277227,0.3425725670688059,101,101,0.13861386138613863,0.13861386138613863,0.13861386138613863,0.13861386138613863,0.13861386138613863,0,0,1,87,87,0,3
GOT-10k_Val_000130,-0.29670329670329676,0.19111052852133764,91,91,0.3516483516483517,0.3516483516483517,0.3516483516483517,0.3516483516483517,0.3516483516483517,0,1,0,59,59,0,0
GOT-10k_Val_000131,-0.7777777777777777,0.2752383082188232,81,81,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0,1,72,72,0,1
GOT-10k_Val_000132,-0.6703296703296704,0.29209109490558555,91,91,0.16483516483516483,0.16483516483516483,0.16483516483516483,0.16483516483516483,0.16483516483516483,0,0,1,76,76,0,3
GOT-10k_Val_000133,1.0,0.2599002360842206,101,101,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000134,0.94,0.21302699369973946,100,100,0.97,0.97,0.97,0.97,0.97,1,0,0,3,3,0,1
GOT-10k_Val_000135,1.0,0.31876114029407543,91,91,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000136,1.0,0.10962180654719318,121,121,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000137,0.9800664451827242,0.1951823862135539,301,301,0.9900332225913622,0.9900332225913622,0.9900332225913622,0.9900332225913622,0.9900332225913622,1,0,0,3,3,0,1
GOT-10k_Val_000138,-0.3626373626373627,0.3611581678846498,91,91,0.31868131868131866,0.31868131868131866,0.31868131868131866,0.31868131868131866,0.31868131868131866,0,1,0,62,62,0,8
GOT-10k_Val_000139,0.7227722772277227,0.23381310755233548,101,101,0.8613861386138614,0.8613861386138614,0.8613861386138614,0.8613861386138614,0.8613861386138614,1,0,0,14,14,0,2
GOT-10k_Val_000140,0.1089108910891089,0.14899754911394253,101,101,0.5544554455445545,0.5544554455445545,0.5544554455445545,0.5544554455445545,0.5544554455445545,0,1,0,45,45,0,2
GOT-10k_Val_000141,0.33884297520661155,0.19420815453802726,121,121,0.6694214876033058,0.6694214876033058,0.6694214876033058,0.6694214876033058,0.6694214876033058,0,1,0,40,40,0,2
GOT-10k_Val_000142,0.01098901098901095,0.22495308096599767,91,91,0.5054945054945055,0.5054945054945055,0.5054945054945055,0.5054945054945055,0.5054945054945055,0,1,0,45,45,0,2
GOT-10k_Val_000143,1.0,0.12135747220462595,81,81,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000144,1.0,0.13630171292984636,81,81,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000145,1.0,0.10139990771959602,101,101,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000146,1.0,0.12301551429128213,81,81,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000147,1.0,0.11607431129352923,81,81,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000148,1.0,0.14500440443535062,81,81,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000149,1.0,0.11780393141795557,80,80,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000150,1.0,0.1833730999429363,83,83,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000151,-0.8999999999999999,0.19720608085920088,60,60,0.05,0.05,0.05,0.05,0.05,0,0,1,57,57,0,0
GOT-10k_Val_000152,-0.7567567567567568,0.3550330174949855,74,74,0.12162162162162163,0.12162162162162163,0.12162162162162163,0.12162162162162163,0.12162162162162163,0,0,1,65,65,0,1
GOT-10k_Val_000153,-0.4320987654320987,0.32952829995859434,81,81,0.2839506172839506,0.2839506172839506,0.2839506172839506,0.2839506172839506,0.2839506172839506,0,1,0,58,58,0,2
GOT-10k_Val_000154,0.40740740740740744,0.30362525703791154,81,81,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0,1,0,24,24,0,5
GOT-10k_Val_000155,-0.24444444444444446,0.19276258881907207,90,90,0.37777777777777777,0.37777777777777777,0.37777777777777777,0.37777777777777777,0.37777777777777777,0,1,0,56,56,0,2
GOT-10k_Val_000156,0.27402135231316727,0.3270625342361327,281,281,0.6370106761565836,0.6370106761565836,0.6370106761565836,0.6370106761565836,0.6370106761565836,0,1,0,102,102,0,6
GOT-10k_Val_000157,-0.03703703703703698,0.3512236001717892,81,81,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.48148148148148145,0,1,0,42,42,0,5
GOT-10k_Val_000158,-0.03703703703703698,0.2785271136673353,81,81,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.48148148148148145,0,1,0,42,42,0,4
GOT-10k_Val_000159,1.0,0.13788176913653571,80,80,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000160,-0.7037037037037037,0.2618350248753332,81,81,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0,0,1,69,69,0,4
GOT-10k_Val_000161,-0.1499999999999999,0.1829979827053949,80,80,0.425,0.425,0.425,0.425,0.425,0,1,0,46,46,0,1
GOT-10k_Val_000162,0.8024691358024691,0.26355321562324774,81,81,0.9012345679012346,0.9012345679012346,0.9012345679012346,0.9012345679012346,0.9012345679012346,1,0,0,8,8,0,5
GOT-10k_Val_000163,-0.15555555555555545,0.22038048035824417,90,90,0.4222222222222222,0.4222222222222222,0.4222222222222222,0.4222222222222222,0.4222222222222222,0,1,0,52,52,0,1
GOT-10k_Val_000164,0.12,0.31821309523794045,75,75,0.56,0.56,0.56,0.56,0.56,0,1,0,33,33,0,4
GOT-10k_Val_000165,1.0,0.1616208364921809,101,101,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000166,1.0,0.12805965383296988,100,100,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000167,0.9801980198019802,0.19393113889165892,101,101,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901,1,0,0,1,1,0,1
GOT-10k_Val_000168,0.9120879120879121,0.12978932255047385,91,91,0.9560439560439561,0.9560439560439561,0.9560439560439561,0.9560439560439561,0.9560439560439561,1,0,0,4,4,0,1
