,MOTA,MOTP,Frames,GT,IDF1,IDP,IDR,Rcll,Prcn,MT,PT,ML,FP,FN,IDsw,FM
12ad198c54,-0.13793103448275867,0.2437984054382908,29,58,0.43103448275862066,0.43103448275862066,0.43103448275862066,0.43103448275862066,0.43103448275862066,0,1,1,33,33,0,4
12ec9b93ee,1.0,0.14591078502262325,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
132852e094,0.9166666666666666,0.2092936192445139,24,24,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,1,0,0,1,1,0,0
13325cfa14,1.0,0.12273932521774918,20,40,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
1336440745,0.38888888888888884,0.2615713194277796,36,54,0.7079646017699115,0.6779661016949152,0.7407407407407407,0.7407407407407407,0.6779661016949152,1,1,0,19,14,0,4
134d06dbf9,0.9,0.18796550267817755,20,20,0.95,0.95,0.95,0.95,0.95,1,0,0,1,1,0,1
135625b53d,1.0,0.09382507513804111,29,58,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
13870016f9,0.33333333333333337,0.1881059347399935,19,57,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,2,0,19,19,0,2
13960b3c84,0.9833333333333333,0.18428605733750658,20,60,0.9915966386554622,1.0,0.9833333333333333,0.9833333333333333,1.0,3,0,0,0,1,0,1
13adaad9d9,1.0,0.12934836231370475,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
13ae097e20,1.0,0.20448018791111605,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
13e3070469,0.95,0.12675078348540186,20,60,0.9747899159663865,0.9830508474576272,0.9666666666666667,0.9666666666666667,0.9830508474576272,3,0,0,1,2,0,0
13f6a8c20d,1.0,0.25311778320056644,29,29,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1416925cf2,1.0,0.14263772421226367,19,38,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
142d2621f5,1.0,0.18332728857796474,19,57,1.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0,0
145d5d7c03,1.0,0.19805365006376008,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
145fdc3ac5,1.0,0.10161401863670029,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
14a6b5a139,1.0,0.10893310710127932,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
14c21cea0d,0.9722222222222222,0.17527667763689508,36,72,0.9859154929577465,1.0,0.9722222222222222,0.9722222222222222,1.0,2,0,0,0,2,0,2
14dae0dc93,1.0,0.12306473206554899,20,40,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
14fd28ae99,0.8472222222222222,0.1638175495241456,36,72,0.9230769230769231,0.9295774647887324,0.9166666666666666,0.9166666666666666,0.9295774647887324,2,0,0,5,6,0,2
15097d5d4e,0.3508771929824561,0.14316046362376794,29,57,0.6782608695652174,0.6724137931034483,0.6842105263157895,0.7017543859649122,0.6896551724137931,1,1,0,18,17,2,4
1514e3563f,0.40740740740740744,0.25569329952407194,36,54,0.746031746031746,0.6527777777777778,0.8703703703703703,0.8703703703703703,0.6527777777777778,2,0,0,25,7,0,3
152b7d3bd7,1.0,0.16035999237397683,30,30,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
15617297cc,-1.3333333333333335,0.27167336876774534,36,36,0.17647058823529413,0.13636363636363635,0.25,0.25,0.13636363636363635,0,2,0,57,27,0,2
15d1fb3de5,1.0,0.17207194042977164,36,72,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
15f67b0fab,0.07042253521126762,0.2758805963204583,36,71,0.5352112676056338,0.5352112676056338,0.5352112676056338,0.5352112676056338,0.5352112676056338,1,1,0,33,33,0,4
161eb59aad,0.8333333333333334,0.20745175195656318,20,60,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,3,0,0,5,5,0,2
16288ea47f,1.0,0.1526520774410193,36,72,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
165c42b41b,0.3508771929824561,0.21812633562093856,19,57,0.7131782945736435,0.6388888888888888,0.8070175438596491,0.8070175438596491,0.6388888888888888,2,2,0,26,11,0,5
1669502269,1.0,0.21081739110708375,19,19,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
16763cccbb,1.0,0.0763402670223158,30,30,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
16adde065e,0.4833333333333333,0.23939656125580402,20,60,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.75,0.75,2,1,0,15,15,1,3
16af445362,1.0,0.1781581736933881,20,20,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
16afd538ad,1.0,0.20718813948084025,30,60,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
16e8599e94,0.6666666666666667,0.2952088763030472,36,36,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1,0,0,6,6,0,1
16fe9fb444,0.4473684210526315,0.2697334809157489,19,38,0.7123287671232876,0.7428571428571429,0.6842105263157895,0.6842105263157895,0.7428571428571429,1,1,0,9,12,0,1
1705796b02,1.0,0.1283242166505495,20,20,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1724db7671,1.0,0.18679779014744882,29,29,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
175169edbb,1.0,0.20481223468527035,29,58,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
17622326fd,1.0,0.14375369793430015,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
17656bae77,1.0,0.12710835262251077,19,19,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
17c220e4f6,1.0,0.08758627354546131,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
17c7bcd146,1.0,0.22008514848457486,20,20,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
17cb4afe89,0.9166666666666666,0.10693001927166434,36,36,0.9565217391304348,1.0,0.9166666666666666,0.9166666666666666,1.0,1,0,0,0,3,0,3
17d8ca1a37,1.0,0.15289792632643706,30,60,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
180abc8378,0.6111111111111112,0.2564380499944993,36,72,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8055555555555556,1,1,0,14,14,0,2
185bf64702,0.09999999999999998,0.3039958463572777,20,30,0.5074626865671642,0.4594594594594595,0.5666666666666667,0.7333333333333333,0.5945945945945946,1,1,0,15,8,4,2
18913cc690,1.0,0.25585486218929143,19,19,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
189ac8208a,0.26315789473684215,0.20003412969753218,19,38,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,1,1,0,14,14,0,0
189b44e92c,1.0,0.18093730712148753,20,20,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
18b5cebc34,1.0,0.1283606284983964,30,30,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
18bad52083,1.0,0.27508703085772135,34,68,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
OVERALL,0.6677337454465173,0.19148321443647423,5491,9059,0.8321628831182971,0.8209452201933405,0.8436913566618832,0.8496522795010487,0.8267454350161118,262,73,21,1613,1362,35,213
