MOTA,MOTP,Frames,GT,IDF1,IDP,IDR,Rcll,Prcn,MT,PT,ML,FP,FN,IDsw,FM
0.6908140403286034,0.23030071339091662,123,1339,0.8019323671497585,0.7980769230769231,0.8058252427184466,0.8543689320388349,0.8461538461538461,7,4,0,208,195,11,20
0.026530612244897944,0.1970268524330609,51,490,0.4792270531400966,0.45504587155963305,0.5061224489795918,0.5775510204081633,0.5192660550458715,3,5,3,262,207,8,7
0.5926860025220682,0.18610222786636416,153,1586,0.7843377179565616,0.7617349970291146,0.8083228247162674,0.8272383354350568,0.7795603089720736,8,2,1,371,274,1,18
0.575327897908543,0.15408701479406742,177,2821,0.7896551724137931,0.7687143336690164,0.8117688762850053,0.8163771712158809,0.7730782141658274,14,2,2,676,518,4,28
0.5512343591477848,0.1611671769601689,198,2957,0.78314826910516,0.7571834543732239,0.8109570510652688,0.8112952316537031,0.7574992106094095,11,3,2,768,558,1,4
-0.058006042296072424,0.2352456335566842,330,1655,0.5008460236886633,0.46959280803807507,0.5365558912386706,0.5438066465256798,0.47593865679534636,3,0,3,991,755,5,26
0.6088631984585742,0.17151600050336382,186,1557,0.7705171879838959,0.7440191387559809,0.7989723827874117,0.8420038535645472,0.7840909090909091,7,1,1,361,246,2,19
0.3031700288184438,0.17600169844602034,258,1735,0.5998305563400169,0.5880398671096345,0.6121037463976945,0.6743515850144092,0.6478405315614618,4,3,0,636,565,8,40
-0.9329388560157792,0.3495352441690628,162,507,0.1135593220338983,0.09955423476968796,0.13214990138067062,0.20118343195266272,0.1515601783060921,0,3,2,571,405,4,17
0.6541554959785523,0.21342522241328737,102,373,0.8348271446862996,0.7990196078431373,0.8739946380697051,0.8739946380697051,0.7990196078431373,2,2,0,82,47,0,9
0.6562107904642409,0.19583619792397802,126,1594,0.8304455445544554,0.8192918192918193,0.8419071518193224,0.8419071518193224,0.8192918192918193,10,1,2,296,252,0,10
-0.8779007497322384,0.36869160779279425,630,2801,0.13767688679245282,0.11724830529751444,0.1667261692252767,0.27811495894323457,0.1955812201857896,0,3,4,3204,2022,34,97
-0.9727272727272727,0.0,78,220,0.013636363636363636,0.013636363636363636,0.013636363636363636,0.013636363636363636,0.013636363636363636,0,0,3,217,217,0,0
0.5967567567567568,0.1710467750617932,254,2775,0.8075004300705315,0.772547728768927,0.8457657657657658,0.8461261261261261,0.7728768926925609,9,3,0,690,427,2,26
0.30295897780766645,0.20439467438136838,230,2974,0.6763149704326175,0.6294901506373117,0.730665770006725,0.7323470073974445,0.6309385863267671,13,3,2,1274,796,3,48
0.25988700564971756,0.2407498690022325,119,1062,0.650355871886121,0.6163575042158516,0.6883239171374764,0.6883239171374764,0.6163575042158516,6,2,2,455,331,0,15
0.4422933730454207,0.1507930305343861,192,1343,0.7212504652028284,0.7209821428571429,0.7215189873417721,0.7215189873417721,0.7209821428571429,5,0,2,375,374,0,0
0.3001285347043702,0.1922981937566698,287,3112,0.6477843764275925,0.615629522431259,0.6834832904884319,0.7066195372750642,0.6364688856729378,8,4,1,1256,913,9,77
0.2574329224075417,0.1900632751399521,354,2758,0.617043847241867,0.6021394064872325,0.6327048585931835,0.6555474981870921,0.6238785369220152,3,6,0,1090,950,8,34
0.38625693555271023,0.17187484942654363,365,4686,0.7122918471460198,0.6487813431527266,0.7895860008536065,0.8021766965428937,0.6591267753813782,11,3,3,1944,927,5,47
0.3657906074967686,0.18700793701922758,233,2321,0.6828639002365082,0.6815450643776824,0.6841878500646273,0.6850495476087893,0.6824034334763949,6,1,3,740,731,1,17
0.24392747177557306,0.2188233177439075,336,2923,0.6321713303110833,0.5820379965457686,0.6917550461854259,0.7180978446801232,0.604202648244099,7,2,2,1375,824,11,63
0.62478184991274,0.16665117514036648,290,2865,0.8114982578397213,0.8100869565217391,0.8129144851657941,0.8150087260034904,0.8121739130434783,8,0,2,540,530,5,2
0.5007215007215007,0.22493841072461876,297,2079,0.7503607503607503,0.7503607503607503,0.7503607503607503,0.7503607503607503,0.7503607503607503,5,1,1,519,519,0,17
0.41614996395097337,0.17472689699068267,614,6935,0.7204694511563686,0.6911258278145695,0.7524152847873108,0.7534246575342466,0.6920529801324503,9,1,3,2325,1710,14,100
0.43853623874940784,0.19795302030404874,598,8444,0.726850315300365,0.6819597259705211,0.7780672666982473,0.7907389862624349,0.6930662237907411,12,5,2,2957,1767,17,99
0.30401737242128124,0.191568753895617,104,921,0.6526655896607432,0.6474358974358975,0.6579804560260586,0.6612377850162866,0.6506410256410257,5,1,3,327,312,2,11
0.35161106226767236,0.19030674666373426,6847,64833,0.6780649688605597,0.6444401217156911,0.7153918529144109,0.732050036246973,0.6594461658167873,176,61,49,24510,17372,155,851
